序号,课题名称,姓名,工作单位,项目类别,所在学科
583,珠江上游民族聚居区生态振兴与稳定脱贫良性互动机制研究,张琳杰,贵州省社会科学院,青年项目,民族学
584,西南少数民族火草纺织技术史研究,张学渝,广西民族大学,青年项目,民族学
585,南疆乡村振兴进程中妇女的地位与作用研究,庄玮,新疆财经大学,青年项目,民族学
586,女真文碑刻整理与释读研究,綦岩,黑龙江大学,青年项目,民族学
587,17-19世纪西藏金沙江流域藏文地方志收集整理与研究,泽仁曲措,西藏大学,青年项目,民族学
588,清代满文舆地志文献整理与研究,张闶,中国人民大学,青年项目,民族学
589,汉字记录侗语文献书写系统研究,龙润田,首都师范大学,青年项目,民族学
590,民族地区推广通用语言文字与就业关系的跟踪调查研究,傲日格乐,内蒙古民族大学,青年项目,民族学
591,西南少数民族传统协作组织在产业治理中的运用与效益研究,杜星梅,云南大学,青年项目,民族学
592,杜·乔玛之前的西方藏学研究,牛海洋,陕西师范大学,青年项目,民族学
593,新出13-14世纪藏文文献中有关汉藏蒙多民族交往交流交融史料的译注与研究,谢光典,陕西师范大学,青年项目,民族学
594,西藏古代印章与汉藏各民族交往交流交融研究,朱德涛,四川警察学院,青年项目,民族学
595,乡村振兴背景下藏区青年返乡创业的社会生态系统优化研究,陈玉凤,井冈山大学,青年项目,民族学
596,多语种方志文献中的元代北方少数民族传记资料整理与研究,陈新元,中山大学,青年项目,民族学
597,越共十三大后的越南共产党新动向及我应对研究,张玲,云南省社会科学院,青年项目,国际问题研究
598,大国经济竞争的策略选择研究,肖河,中国社会科学院世界经济与政治研究所,青年项目,国际问题研究
599,周边中小国家的“利基外交”对我国外交环境影响与政策研究,王琛,暨南大学,青年项目,国际问题研究
600,中国崛起与国际发展秩序的变革,陈沐阳,北京大学,青年项目,国际问题研究
601,后疫情时代中美竞争的战略叙事建构与变迁机制研究,曹德军,中国人民大学,青年项目,国际问题研究
602,智能化武装行动国际规制及中国主张研究,居梦,湖北工业大学,青年项目,国际问题研究
603,19世纪以来涉中印边界西段争议区地图的整理与研究,刘秧,四川大学,青年项目,国际问题研究
604,水足迹视角下中国与“一带一路”沿线国家水可持续性研究,蔡婕萍,湖南大学,青年项目,国际问题研究
605,海上恐怖主义及其治理研究,曹峰毓,西北大学,青年项目,国际问题研究
606,新冠疫情背景下的全球粮食安全治理与中国的战略选择研究,张帅,上海政法学院,青年项目,国际问题研究
607,后疫情时代全球气候治理体系变革与中国气候外交对策研究,关孔文,北京航空航天大学,青年项目,国际问题研究
608,人工智能的国际安全挑战与规范演进研究,朱荣生,清华大学,青年项目,国际问题研究
609,区块链共识机制对全球治理规则制定的启示研究,杨昊,中国政法大学,青年项目,国际问题研究
610,国际数字鸿沟治理与中国战略选择研究,邸玉娜,北京工商大学,青年项目,国际问题研究
611,东南亚海岛国家外交决策对“一带一路”基础设施项目的影响研究,王昭晖,厦门大学,青年项目,国际问题研究
612,“一带一路”背景下中国对非投资与构建中非命运共同体路径研究,陈兆源,中国社会科学院世界经济与政治研究所,青年项目,国际问题研究
613,全球气候治理与贸易新形势下的我国碳市场国际化路径研究,曾盈盈,中南财经政法大学,青年项目,国际问题研究
614,制度型开放背景下中国加入CPTPP的路径研究,孙忆,中共中央党校（国家行政学院）,青年项目,国际问题研究
615,依托国内大市场带动中国出口贸易高质量发展的实现路径研究,郑淑芳,南昌大学,青年项目,国际问题研究
616,全球价值链结构性变化影响中国经济安全的机制与对策研究,管传靖,对外经济贸易大学,青年项目,国际问题研究
617,全球地缘政治风险对中国高端制造业的影响测度及应对研究,郭鹏,河南工业大学,青年项目,国际问题研究
618,身份政治视角下的“主权欧洲”建设及其对中欧关系的影响研究,杨一帆,华东师范大学,青年项目,国际问题研究
619,组织与制度互动视角下的中东欧政党政治与“民主倒退”研究,马骏驰,中国社会科学院欧洲研究所,青年项目,国际问题研究
620,百年大变局下中国与欧盟产业链协同发展研究,寇蔻,北京外国语大学,青年项目,国际问题研究
621,新冠肺炎疫情下基于大数据的欧洲右翼民粹主义发展新趋势及中国应对研究,何晴倩,中国政法大学,青年项目,国际问题研究
622,印太视域下美国南海竞争战略的目标取向与措施匹配及中国应对研究,陈慈航,中南财经政法大学,青年项目,国际问题研究
623,印度洋地区秩序演变对人类命运共同体的影响及对策研究,俞家海,华南理工大学,青年项目,国际问题研究
624,日本国内关于钓鱼岛归属问题的观点解析与考证研究,房迪,北京外国语大学,青年项目,国际问题研究
625,巴基斯坦语言运动及其对中巴经济走廊影响研究,袁雨航,北京外国语大学,青年项目,国际问题研究
626,我国基于RCEP构建“亚太命运共同体”战略与路径研究,嵇先白,中国人民大学,青年项目,国际问题研究
627,中美博弈新形势下的东盟“中心地位”研究,董贺,暨南大学,青年项目,国际问题研究
628,中美在东南亚非传统安全问题上的竞争与中国的对策研究,贺嘉洁,复旦大学,青年项目,国际问题研究
629,当代泰国历史教科书中的中国形象研究,赵娟,云南大学,青年项目,国际问题研究
630,中国—东盟产业链合作的政治经济风险与化解路径研究,张淼,厦门大学,青年项目,国际问题研究
631,非洲经济一体化视域下中非自由贸易法律保障机制研究,刘功奇,湘潭大学,青年项目,国际问题研究
632,美国非洲之角安全援助战略及中国的应对研究,张舒君,中共江苏省委党校,青年项目,国际问题研究
633,土耳其“复合地缘战略”与中土战略合作关系研究,王佳尼,上海大学,青年项目,国际问题研究
634,中非合作推动新型国际发展合作体系建构研究,肖瑾,浙江师范大学,青年项目,国际问题研究
635,中非命运共同体视域下的华人企业家与非洲社会的双向互动研究,刘少楠,北京师范大学,青年项目,国际问题研究
636,新世纪以来国际移民对拉美政治变迁的影响研究,金晓文,中国人民大学,青年项目,国际问题研究
637,美国智库视域下的中俄关系（2012-2020）,马洪喜,曲阜师范大学,青年项目,国际问题研究
638,注意力经济视域下中俄贸易模式创新与实现路径研究,胡明,对外经济贸易大学,青年项目,国际问题研究
639,总体国家安全观视野下国际伊斯兰非政府组织对中国的影响及应对研究,何思雨,深圳大学,青年项目,国际问题研究
640,美式数字贸易规则在“一带一路”的扩展及中国应对研究,陈寰琦,广东外语外贸大学,青年项目,国际问题研究
641,双循环格局下中国企业境外上市对资本配置效率的影响研究,乔敏健,河北大学,青年项目,国际问题研究
642,身联网的国家安全风险及其治理研究,王高阳,郑州大学,青年项目,国际问题研究
643,美国国会立法干涉台湾问题的规律、风险与对策研究（1973-2021）,周文星,南京大学,青年项目,国际问题研究
644,“美国—湄公河伙伴关系”新态势对澜湄合作的影响及我国对策研究,邓涵,中共中央党校（国家行政学院）,青年项目,国际问题研究
645,菲律宾南海外交决策中的国会因素及中国的对策研究,王看,中山大学,青年项目,国际问题研究
646,21世纪以来俄罗斯边疆地区治理与发展战略研究,崔珩,华东师范大学,青年项目,国际问题研究
647,恰亚诺夫小农发展理论的解构与重塑研究,胡冰,中国社会科学院俄罗斯东欧中亚研究所,青年项目,国际问题研究
648,旅日学人对中国现代史学奠基和发展的贡献研究,周励恒,中共中央党校（国家行政学院）,青年项目,中国历史
649,明清“汉书学”研究,范宇焜,太原理工大学,青年项目,中国历史
650,民国时期马克思主义史家群体的地域性聚集现象研究,谢辉元,中国社会科学院历史理论研究所,青年项目,中国历史
651,“现代史学”派与20世纪上半叶中国史学现代化演进研究,殷飞飞,上海财经大学,青年项目,中国历史
652,出土文献所见楚国信仰习俗研究,廉超,常州大学,青年项目,中国历史
653,清代《礼记》文献研究,侯婕,南京师范大学,青年项目,中国历史
654,金文所见西周军事防御体系研究,周博,南昌大学,青年项目,中国历史
655,商代牺牲与用牲制度研究,杨弃,鲁东大学,青年项目,中国历史
656,商周农业及其生产组织形式研究,王祁,中国社会科学院历史理论研究所,青年项目,中国历史
657,西周土地铭文考释与土地制度研究,杨坤,北京大学,青年项目,中国历史
658,简牍所见新秦地郡县化与新黔首统合研究,熊永,北京师范大学,青年项目,中国历史
659,“国野制”新研,谢能宗,中国人民大学,青年项目,中国历史
660,岳麓简所见秦令研究,王萍,山东师范大学,青年项目,中国历史
661,出土律令与秦代官吏管理制度研究,齐继伟,中国社会科学院,青年项目,中国历史
662,西北汉简所见汉与周边交往资料的搜集整理与研究,周艳涛,西南大学,青年项目,中国历史
663,秦汉生态环境变迁与民俗信仰关系研究,罗启龙,贵州大学,青年项目,中国历史
664,辽金中枢政务运作体制研究,田晓雷,中山大学,青年项目,中国历史
665,敦煌社邑文书与唐五代基层社会研究,赵大旺,南京师范大学,青年项目,中国历史
666,魏晋南北朝官员位阶体系研究,柴芃,山西大学,青年项目,中国历史
667,官阶优免与唐代赋役体系运行研究,顾成瑞,西北大学,青年项目,中国历史
668,历史记忆与族群认同：蒙古开国史新诠,张晓慧,中国社会科学院,青年项目,中国历史
669,宋代官员兼职制度研究,范帅,郑州轻工业大学,青年项目,中国历史
670,黄土丘陵地带宋夏金墓葬研究,陈雪飞,宁夏大学,青年项目,中国历史
671,《吏部条法》与南宋官制研究,束保成,浙江大学,青年项目,中国历史
672,中国古代国家治理视野下的南宋四川类省试研究,游君彦,重庆工商大学,青年项目,中国历史
673,明代盐税改革与社会税负研究,夏强,海南师范大学,青年项目,中国历史
674,明代军户的科举及身份性变化研究,黄谋军,赣南师范大学,青年项目,中国历史
675,“中人”与清代地方社会研究,郭睿君,安徽大学,青年项目,中国历史
676,国家治理视野下的清代捐输制度研究,江晓成,福建师范大学,青年项目,中国历史
677,清帝北巡与国家治理研究,项旋,北京师范大学,青年项目,中国历史
678,清代造办处与皇室财政研究,王嘉乐,清华大学,青年项目,中国历史
679,清代黄河滩区治理与区域社会研究,张乐锋,信阳师范学院,青年项目,中国历史
680,保举制度与近代中国的铨选转型研究,林浩彬,南京师范大学,青年项目,中国历史
681,晚清英美在华领事裁判权体系中的华洋诉讼研究（1843—1912）,张晓宇,山东大学,青年项目,中国历史
682,英国在华情报网络的建构与对华外交决策研究（1843-1911）,郑彬彬,上海大学,青年项目,中国历史
683,美国商人与甲午后的晚清政局研究（1898-1912）,王慧颖,中国社会科学院历史理论研究所,青年项目,中国历史
684,近代中国与梵蒂冈通使问题研究,张乐,北京师范大学,青年项目,中国历史
685,冷战视域下美台“共同防御条约”的历史考察,郝天豪,江苏师范大学,青年项目,中国历史
686,国民党军事派系视角下的基层军官人事与士兵征募研究（1931-1937）,姜涛,中国社会科学院近代史研究所,青年项目,中国历史
687,抗战时期朱家骅与国民党人事制度研究,梁馨蕾,中国社会科学院近代史研究所,青年项目,中国历史
688,战时日本对中国大后方抗战力的调查研究,左春梅,西南大学,青年项目,中国历史
689,侵华战争时期日本在中国东北的战争动员体系研究,季泓旭,天津社会科学院,青年项目,中国历史
690,近代中国国库制度研究（1905—1949）,张超,厦门大学,青年项目,中国历史
691,近代中日合办企业研究（1895-1931）,许龙生,华中师范大学,青年项目,中国历史
692,改革开放初期中法工业技术合作研究,周磊,青岛大学,青年项目,中国历史
693,国民党统治时期的清史认知、书写与阅读文化研究（1928-1949）,周海建,中央民族大学,青年项目,中国历史
694,中国国民党意识形态建构视域下的民国时期儿童电影研究(1918-1949),陈莹,中共福建省委党校,青年项目,中国历史
695,比较视野下的近代徐家汇汉学研究（1842-1952）,莫为,上海海事大学,青年项目,中国历史
696,清末民初的“文明史学”研究,王鸿,上海社会科学院,青年项目,中国历史
697,英式社会主义在近代中国的传播（1919-1949）,赵旭铎,北京大学,青年项目,中国历史
698,晚清西方地质学在华引介、传播与影响研究（1853-1911）,杨丽娟,中国科学院自然科学史研究所,青年项目,中国历史
699,工业文明与江南乡村社会权力变迁研究（1900-1937）,李发根,安徽大学,青年项目,中国历史
700,近代中国中央卫生行政制度研究（1905-1949）,姬凌辉,浙江大学,青年项目,中国历史
701,抗战时期华北八路军士兵日常生活研究（1937—1945）,宋弘,山东大学,青年项目,中国历史
702,晚清以来山西乡村的经济结构与社会变迁研究,张爱明,太原师范学院,青年项目,中国历史
703,出土简帛所见秦汉边地疾病医疗与社会研究,张以静,西南大学,青年项目,中国历史
704,明清华北极端旱涝灾害的发生与治理研究,韩健夫,杭州电子科技大学,青年项目,中国历史
705,地理格局与西周王朝政治演进研究,邹家兴,四川大学,青年项目,中国历史
706,新中国水上政区建设研究,黎心竹,东南大学,青年项目,中国历史
707,近代汉口茶市研究（1861-1938）,何强,湖北大学,青年项目,中国历史
708,十六国北朝西北地区民族交往交流交融研究,朱艳桐,浙江理工大学,青年项目,中国历史
709,隋唐五代环南海区域民族关系与治理经验研究,廖靖靖,中央民族大学,青年项目,中国历史
710,清代巩昌府属安定县契约文书的收集、整理与研究,张磊,青海师范大学,青年项目,中国历史
711,国家资源调配视野下的清代新疆协饷运作与边疆治理研究,廖文辉,四川大学,青年项目,中国历史
712,清代多民族语文合璧书写与边疆治理研究,强光美,北京科技大学,青年项目,中国历史
713,晚清新疆治理模式与管控机制研究（1884-1912）,章成,暨南大学,青年项目,中国历史
714,近代日本涉南海文献资料的整理与研究,冯军南,中国社会科学院中国边疆研究所,青年项目,中国历史
715,伪满时期中国东北矿产资源流向考证研究,李雨桐,吉林省农业科学院,青年项目,中国历史
716,清代江西地方司法文献与基层社会治理研究,陈海斌,赣南师范大学,青年项目,中国历史
717,汉唐河西边地家族与地方权力结构研究,王晶,西北大学,青年项目,中国历史
718,汉唐交阯史料整理与国家视域下交阯社会演进研究,鲁浩,江西科技师范大学,青年项目,中国历史
719,1949年以来香港民众流动对身份认同影响研究,王惠,河北工业大学,青年项目,中国历史
720,晚清民国自贡盐政与盐场社会变迁研究,黄凯凯,南昌大学,青年项目,中国历史
721,民国时期学术与政治互动下川边治理研究,孙洁,贵州民族大学,青年项目,中国历史
722,出土秦汉法律简牍文本传抄与整合研究,于洪涛,吉林大学,青年项目,中国历史
723,汉唐毒药问题研究,吕壮,中国人民公安大学,青年项目,中国历史
724,宋元时期江南区域诉讼社会史研究,郑鹏,华中农业大学,青年项目,中国历史
725,蓝浦生使华时期资料整理、译介与研究,吴文浩,武汉大学,青年项目,中国历史
726,侵华日军军队体制研究（1937-1945）,张展,南开大学,青年项目,中国历史
727,江津档案所见近代乡村地权纠纷及基层治理研究,娄敏,上海工程技术大学,青年项目,中国历史
728,民国时期城市基层政权研究,杨巍巍,浙江省社会科学院,青年项目,中国历史
729,明清民国北京会馆剧场及演剧活动研究,高扬励,山西师范大学,青年项目,中国历史
730,清代淮南盐的交易形态及其演变研究,韩燕仪,中山大学,青年项目,中国历史
731,中美大豆发展历程比较研究,石慧,南京中医药大学,青年项目,中国历史
732,清代东北亚丝绸之路上的山丹贸易研究,陈诗兰,江苏省社会科学院,青年项目,中国历史
733,生态殖民主义视角下美国全球霸权追逐与东南亚环境变迁（1898-1975）研究,王林亚,福建师范大学,青年项目,世界历史
734,美国对华安全战略研究（1969-2001）,忻怿,陕西师范大学,青年项目,世界历史
735,1952年以来巴西天主教的政治参与和政治文化研究,高然,北京外国语大学,青年项目,世界历史
736,美国退伍军人组织与保守主义教育研究（1919-1972）,张大鹏,暨南大学,青年项目,世界历史
737,20世纪英国医生职业角色转换研究,白爽,南京师范大学,青年项目,世界历史
738,近代早期英国的食物危机与社会治理研究,冯雅琼,上海师范大学,青年项目,世界历史
739,冷战时期英国对“印太地区”秩序的规划与政策研究,彭永福,苏州科技大学,青年项目,世界历史
740,伦敦城市绿色空间体系构建及其启示研究（1833—1906）,严玉芳,长春师范大学,青年项目,世界历史
741,英帝国卫生防疫史研究（1832-1945）,刘旭,重庆邮电大学,青年项目,世界历史
742,近代早期法国捐官制度研究,杨磊,河南大学,青年项目,世界历史
743,民族意志视野下德国历史理论的变迁研究,尉佩云,山西大学,青年项目,世界历史
744,近代早期法国世俗化背景下民族身份认同的建构研究,江晟,浙江师范大学,青年项目,世界历史
745,全球化背景下的近现代摩洛哥乡村社会变迁研究,高文洋,郑州大学,青年项目,世界历史
746,近代法国对中国南海的认知与政策研究（1898-1947）,任雯婧,中国社会科学院近代史研究所,青年项目,世界历史
747,日本近代转型期乡村组织化机制研究（1889-1918）,高燎,重庆大学,青年项目,世界历史
748,南海周边国家间领土及海洋纷争史研究,邬志野,广西师范大学,青年项目,世界历史
749,以色列城市社会的变迁及其治理研究,刘洪洁,河南大学,青年项目,世界历史
750,朝鲜王朝“三十年危机”与东亚秩序转型研究（1598-1627）,黄修志,鲁东大学,青年项目,世界历史
751,英国与印度的国防建设关系研究（1947—1965）,刘恒,云南大学,青年项目,世界历史
752,明末以来果敢地区历史变迁研究,范玉金,云南省社会科学院,青年项目,世界历史
753,越南阮朝前期疫病流行与应对研究（1802-1885）,成思佳,郑州大学,青年项目,世界历史
754,韩国独立运动时期“联中抗日”思潮研究,郑立菲,中国社会科学院世界历史研究所,青年项目,世界历史
755,普通法与英格兰王国治理研究（1154-1377）,刘林,南京师范大学,青年项目,世界历史
756,欧洲中世纪博物学文献研究与译注,蒋澈,清华大学,青年项目,世界历史
757,查理曼改革文献考释与实践机制研究,刘寅,浙江大学,青年项目,世界历史
758,法国习惯法编纂与地方治理体系构建研究（1454—1539）,董子云,浙江大学,青年项目,世界历史
759,20世纪以来的“世界大城市理论”研究,倪凯,聊城大学,青年项目,世界历史
760,埃及军政关系研究（1798-2013）,段九州,清华大学,青年项目,世界历史
761,西方后叙事主义历史哲学研究,张涛,四川大学,青年项目,世界历史
762,联合国环境规划署与全球环境治理关系研究（1968-1992）,靳小勇,西安交通大学,青年项目,世界历史
763,近现代埃及民族主义史学研究,孔妍,郑州大学,青年项目,世界历史
764,俄罗斯汉学远东学派研究,刘丽秋,中原工学院,青年项目,世界历史
765,宇都宫太郎旧藏涉华资料的整理与研究,吉辰,中山大学,青年项目,世界历史
766,西北闪米特语国王铭文的译注与研究,梅华龙,北京大学,青年项目,世界历史
767,印度河上游地区巴哈塔尔遗址调查、发掘资料的整理与研究,施兰英,河北师范大学,青年项目,考古学
768,泥河湾盆地板井子遗址石器工业研究,任进成,吉林大学,青年项目,考古学
769,五莲丹土遗址考古发掘资料整理与研究,赵国靖,山东省文物考古研究院,青年项目,考古学
770,裕民文化遗址石器整理与史前先民生计行为研究,赵潮,陕西师范大学,青年项目,考古学
771,湖南澧县鸡叫城遗址考古调查、发掘资料的整理与研究,石涛,四川大学,青年项目,考古学
772,屈家岭文化的聚落与社会研究,单思伟,武汉大学,青年项目,考古学
773,陇东-陕北地区仰韶晚期至龙山时期的聚落演变与文明化进程研究,李小龙,西北工业大学,青年项目,考古学
774,云南高原史前经济与社会的文明化进程研究,罗伊,云南大学,青年项目,考古学
775,良渚古城姜家山遗址发掘资料的整理与研究,陈明辉,浙江省文物考古研究所,青年项目,考古学
776,河南淅川单岗遗址考古发掘资料整理与研究,张建,郑州大学,青年项目,考古学
777,甘肃东部周秦时期人群生业经济研究,杨谊时,甘肃省文物考古研究所,青年项目,考古学
778,山西绛县雎村西周墓地资料整理与研究,陈海波,山西省考古研究所,青年项目,考古学
779,隋唐瓷器外来文化因素与中外文化交流研究,郭璐莎,河南大学,青年项目,考古学
780,楚系墓葬出土漆木器的整理与丧葬观念研究,邓宽宇,四川大学,青年项目,考古学
781,伊犁河流域及帕米尔高原塞人考古遗存比较研究,梅子霖,西北大学,青年项目,考古学
782,唐朝墩古城遗址考古资料的整理与研究,任冠,中国人民大学,青年项目,考古学
783,内蒙古中部金元城址的考古资料整理与调查研究,周雪乔,北京师范大学,青年项目,考古学
784,东北地区辽金元城址综合研究,赵里萌,吉林大学,青年项目,考古学
785,明清时期浙江地区传统灰塑制作工艺研究,方世强,宁波财经学院,青年项目,考古学
786,山西宋元时期制瓷手工业的考古学研究,刘辉,山西大学,青年项目,考古学
787,陕西宋元壁画墓发掘报告,苗轶飞,陕西省考古研究院,青年项目,考古学
788,渭河流域新石器中期至秦汉时期农业活动与土壤质量演变研究,生膨菲,复旦大学,青年项目,考古学
789,龙山时期中原腹地人群分子考古学研究,武喜艳,河南大学,青年项目,考古学
790,山西绛县雎村西周墓地人骨的体质人类学研究,韩涛,河南大学,青年项目,考古学
791,考古成果的博物馆化解码与传播研究,黄洋,南京师范大学,青年项目,考古学
792,美术考古视角下的汉代怪兽图像研究,李重蓉,中国国家博物馆,青年项目,考古学
793,巴特宗教批判及其当代价值研究,郑佳露,湖南大学,青年项目,宗教学
794,中国化佛教寺院空间研究,刘懿凤,清华大学,青年项目,宗教学
795,当代美国宗教类“基金会智库复合体”的政治影响机制研究,银培萩,复旦大学,青年项目,宗教学
796,国家安全视域下的港澳宗教风险及防范化解机制研究,李江峰,中山大学,青年项目,宗教学
797,涉疆宗教因素在中美关系中的影响研究,姜春禹,新疆维吾尔自治区社会科学院,青年项目,宗教学
798,萨迦班智达传记谱系研究,桑杰卡,青海民族大学,青年项目,宗教学
799,宋代曹洞宗复兴运动研究,孔雁,上海社会科学院,青年项目,宗教学
800,清代政治与汉传佛教制度及僧团管理研究,杨奇霖,上海大学,青年项目,宗教学
801,唐代佛教内道场制度研究,郑佳佳,浙江财经大学,青年项目,宗教学
802,中国化佛教宗法观念研究,王洁,清华大学,青年项目,宗教学
803,山东佛教碑刻收集、整理与研究,马丛丛,山东社会科学院,青年项目,宗教学
804,土观·洛桑却吉尼玛及其藏文文集综合研究,吕其俊,中国社会科学院世界宗教研究所,青年项目,宗教学
805,唐宋之际的佛教藏经与经录研究,张旭,中国社会科学院世界宗教研究所,青年项目,宗教学
806,潘能伯格神学与科学科际对话思想及其当代价值研究,马松红,兰州理工大学,青年项目,宗教学
807,新旧交汇视野下的二仙庵、青羊宫与近代成都社会关系研究,金恺文,四川大学,青年项目,宗教学
808,伊斯兰教在欧洲地区的发展及其社会影响研究,朱剑虹,中央统战部宗教研究中心,青年项目,宗教学
809,欧洲穆斯林协会研究,马明月,大理大学,青年项目,宗教学
810,《天方性理》三种外译本的翻译和比较研究,王伟,南开大学,青年项目,宗教学
811,犹太教哈巴德宣教运动研究,段訸甜,山东社会科学院,青年项目,宗教学
812,《中边分别论》梵汉对勘、注释及研究,包蕾,南京大学,青年项目,宗教学
813,民国时期汉语基督教圣经诠释学研究,赵盼,武汉大学,青年项目,宗教学
814,19世纪以来俄罗斯的中国佛教研究,何冰琦,湖南师范大学,青年项目,宗教学
815,罗马教廷对华政策研究（1622-1939）,张锐,华东师范大学,青年项目,宗教学
816,马克思主义文艺理论中国化资料编年与专题研究,王波,国防大学军事文化学院,青年项目,中国文学
817,明清之际文论“真”之观念研究,邵晓林,湖北大学,青年项目,中国文学
818,洛文塔尔文学社会学理论研究,贾永平,兰州城市学院,青年项目,中国文学
819,当代英美“后分析”文论研究,张巧,华南师范大学,青年项目,中国文学
820,西方文学虚构的概念史研究,周飞,河南大学,青年项目,中国文学
821,日本后现代左翼“间”理论研究,韩尚蓉,中国社会科学院社会科学文献出版社,青年项目,中国文学
822,日本现代诗学“实在论”及其当代意义研究,柏奕旻,中国社会科学院文学研究所,青年项目,中国文学
823,留日学生与中国马克思主义文论早期建构模式研究,尹一帆,浙江理工大学,青年项目,中国文学
824,清末民初审美启蒙论研究,冯庆,中国人民大学,青年项目,中国文学
825,恩斯特·布洛赫美学的当代性问题研究,张晓萌,湖南师范大学,青年项目,中国文学
826,当代中国短视频文化的“乡村叙事”研究,柴冬冬,杭州师范大学,青年项目,中国文学
827,出土文献与《楚辞》名物研究,李凤立,浙江师范大学,青年项目,中国文学
828,中国早期图像及族源观念研究,王志翔,北京师范大学,青年项目,中国文学
829,汉赋文本的“知识考古”及赋学理论问题研究,刘成敏,中南财经政法大学,青年项目,中国文学
830,《春秋繁露》文本构成与“董仲舒学派”研究,黄若舜,南京大学,青年项目,中国文学
831,日藏《文选》古钞本整理与研究,高薇,中山大学,青年项目,中国文学
832,历代魏晋风度图像谱系研究,刘涛,江苏师范大学,青年项目,中国文学
833,北朝后期的高门重建与文学复兴研究,庄芸,中国人民大学,青年项目,中国文学
834,制度史视野下的唐代诗歌教育研究,韩达,中国政法大学,青年项目,中国文学
835,《五经正义》与唐代文士思想研究,刘雅萌,南京大学,青年项目,中国文学
836,唐宋“新子书”与古文运动研究,王芊,中山大学,青年项目,中国文学
837,宋元书目文献文学批评史料辑录与研究,黄静,贵州师范大学,青年项目,中国文学
838,明代中后期馆阁政治与文学研究,安家琪,黑龙江大学,青年项目,中国文学
839,明代复古派东传与朝鲜文坛复古思潮研究,韩东,南昌大学,青年项目,中国文学
840,《四库全书总目》明人说部提要考辨与明代小说史重写,吴文庆,内江师范学院,青年项目,中国文学
841,光宣诗论研究,孙银霞,烟台大学,青年项目,中国文学
842,乾嘉笔记与乾嘉文人生活研究,元伟,河北师范大学,青年项目,中国文学
843,乾嘉吴派经学与文学关系研究,王祥辰,扬州大学,青年项目,中国文学
844,清代外销艺术品中的戏曲史料辑录与研究,陈雅新,深圳大学,青年项目,中国文学
845,中国宗祠剧场文献资料搜集、整理与研究,邓弟蛟,山西师范大学,青年项目,中国文学
846,明清戏曲批评及经典意识研究,李碧,浙江理工大学,青年项目,中国文学
847,晚清民国《红楼梦》铅石印本研究,武迪,中国人民大学,青年项目,中国文学
848,湖湘诗群崛起与晚清经世、宗宋文学思潮形成研究,向双霞,长沙理工大学,青年项目,中国文学
849,桐城派古文选本评点整理与研究,周游,江南大学,青年项目,中国文学
850,古直年谱长编,郭鹏飞,湖南师范大学,青年项目,中国文学
851,汉译日文小说与中国近代文学建构研究（1894-1919）,刘璇,暨南大学,青年项目,中国文学
852,近代香港报刊文学整理与研究（1840-1919）,杨刘秀子,暨南大学,青年项目,中国文学
853,中国现代主义诗学的德国美学渊源研究（1900-1949）,张慧佳,湘潭大学,青年项目,中国文学
854,中国近现代文学中的疾病医疗话语流变研究,曹晓华,上海社会科学院,青年项目,中国文学
855,中国现代学术与现代文学的互动关系研究（1917—1937）,李浴洋,北京师范大学,青年项目,中国文学
856,“二史馆”藏创造社作家档案整理与研究（1938-1945）,曾祥金,西安交通大学,青年项目,中国文学
857,解放战争与“人民文艺”思潮研究,戎琦,广东外语外贸大学,青年项目,中国文学
858,抗战时期旧体诗词的现代化转型研究,邱婕,武汉工程大学,青年项目,中国文学
859,台湾左翼戏剧史料整理与研究,王昱敏,福建师范大学,青年项目,中国文学
860,听觉文化视野下的解放区文艺研究,刘欣玥,上海师范大学,青年项目,中国文学
861,翻译文学批评与中国当代文学制度建构研究（1949-1966）,操乐鹏,浙江财经大学,青年项目,中国文学
862,香港文学中的“香港书写”与岭南文化认同研究（1985—2017）,徐诗颖,华南师范大学,青年项目,中国文学
863,香港左翼文艺运动研究（1945-1949）,谢力哲,湖南师范大学,青年项目,中国文学
864,20世纪中国新诗语象变迁研究（1917-2000）,张凯成,华中师范大学,青年项目,中国文学
865,社会主义文艺实践中的听觉经验研究,康凌,复旦大学,青年项目,中国文学
866,赵树理与革命文艺研究,林培源,暨南大学,青年项目,中国文学
867,中国当代作家自述史料整理与研究（1978-2020）,史婷婷,浙江财经大学,青年项目,中国文学
868,现代作家身份意识转换与“人民文艺”历史建构的关系研究（1949-1966）,章涛,宁波大学,青年项目,中国文学
869,1990年代诗人译诗与中国新诗的突围研究,方舟,武汉大学,青年项目,中国文学
870,中国科幻文学的审美价值和社会影响研究,姜振宇,四川大学,青年项目,中国文学
871,图像视域下的《山海经》民间传承与知识生产研究,程梦稷,北京大学,青年项目,中国文学
872,格萨尔史诗叙事传统关键词研究,央吉卓玛,中国社会科学院民族文学研究所,青年项目,中国文学
873,基于多民族神话大数据的中华民族共同体意识研究,王京,中国科学院,青年项目,中国文学
874,中国当代少数民族文学史编写中的中华民族共同体意识研究,苏珊,大连民族大学,青年项目,中国文学
875,《江格尔》语图互文研究,阿婧斯,内蒙古师范大学,青年项目,中国文学
876,战后意大利文艺美学思想研究,聂世昌,上海大学,青年项目,中国文学
877,文话与清代文学生态研究,诸雨辰,北京师范大学,青年项目,中国文学
878,昆曲文人清唱文献叙录与研究,邹青,江苏第二师范学院,青年项目,中国文学
